baud_rate,measured_velocity
0,0.0
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0
1300,0.0
1400,0.0
1500,0.0
1600,0.0
1700,0.0
1800,0.0
1900,0.0
2000,0.0
2100,0.0
2200,0.0
2300,0.0
2400,0.0
2500,0.0
2600,0.0
2700,0.0
2800,0.0
2900,0.0
3000,0.0
3100,0.0
3200,0.0
3300,0.0
3400,0.0
3500,0.0
3600,0.0
3700,0.0
3800,0.0
3900,0.0
4000,0.022781672
4100,0.022781672
4200,0.022781672
4300,0.022781672
4400,0.022781672
4500,0.022781672
4600,0.022781672
4700,0.028477094
4800,0.028477094
4900,0.028477094
5000,0.034172512
5100,0.028477094
5200,0.034172512
5300,0.028477094
5400,0.034172512
5500,0.034172512
5600,0.034172512
5700,0.034172512
5800,0.034172512
5900,0.034172512
6000,0.03986793
6100,0.03986793
6200,0.045563344
6300,0.03986793
6400,0.03986793
6500,0.045563344
6600,0.045563344
6700,0.045563344
6800,0.045563344
6900,0.045563344
7000,0.045563344
7100,0.045563344
7200,0.05125877
7300,0.05125877
7400,0.05125877
7500,0.05125877
7600,0.05125877
7700,0.05125877
7800,0.056954188
7900,0.05125877
8000,0.05125877
8100,0.056954188
8200,0.056954188
8300,0.05125877
8400,0.056954188
8500,0.056954188
8600,0.056954188
8700,0.0626496
8800,0.056954188
8900,0.0626496
9000,0.056954188
9100,0.0626496
9200,0.068345024
9300,0.0626496
9400,0.068345024
9500,0.0626496
9600,0.0626496
9700,0.068345024
9800,0.068345024
9900,0.068345024
10000,0.068345024
10100,0.068345024
10200,0.068345024
10300,0.074040432
10400,0.074040432
10500,0.074040432
10600,0.074040432
10700,0.074040432
10800,0.074040432
10900,0.07973586
11000,0.074040432
11100,0.07973586
11200,0.07973586
11300,0.07973586
11400,0.08543128
11500,0.08543128
11600,0.07973586
11700,0.08543128
11800,0.08543128
11900,0.08543128
12000,0.08543128
12100,0.08543128
12200,0.08543128
12300,0.08543128
12400,0.09112669
12500,0.08543128
12600,0.08543128
12700,0.09112669
12800,0.09682211
12900,0.09112669
13000,0.09112669
13100,0.09682211
13200,0.09682211
13300,0.09682211
13400,0.09682211
13500,0.09682211
13600,0.09682211
13700,0.09682211
13800,0.09682211
13900,0.09682211
14000,0.10251754
14100,0.10251754
14200,0.10251754
14300,0.10821295
14400,0.10251754
14500,0.10251754
14600,0.10251754
14700,0.10251754
14800,0.10821295
14900,0.10821295
15000,0.10821295
15100,0.11390837
15200,0.10821295
15300,0.11390837
15400,0.11390837
15500,0.11390837
15600,0.11390837
15700,0.11390837
15800,0.11390837
15900,0.11390837
16000,0.11390837
16100,0.11960379
16200,0.11390837
16300,0.11960379
16400,0.11960379
16500,0.11960379
16600,0.11960379
16700,0.11960379
16800,0.1252992
16900,0.1252992
17000,0.1252992
17100,0.1252992
17200,0.13099464
17300,0.1252992
17400,0.13099464
17500,0.13099464
17600,0.1252992
17700,0.13099464
17800,0.13099464
17900,0.13099464
18000,0.13099464
18100,0.13099464
18200,0.13099464
18300,0.13099464
18400,0.13669005
18500,0.13669005
18600,0.13099464
18700,0.13099464
18800,0.13099464
18900,0.13099464
19000,0.13669005
19100,0.14238547
19200,0.14238547
19300,0.14238547
19400,0.14238547
19500,0.14238547
19600,0.14238547
19700,0.14808087
19800,0.14808087
19900,0.14238547
20000,0.14808087
20100,0.14808087
20200,0.14808087
20300,0.14808087
20400,0.1537763
20500,0.14808087
20600,0.1537763
20700,0.1537763
20800,0.1537763
20900,0.1537763
21000,0.1537763
21100,0.15947172
21200,0.15947172
21300,0.15947172
21400,0.15947172
21500,0.15947172
21600,0.15947172
21700,0.15947172
21800,0.15947172
21900,0.16516714
22000,0.16516714
22100,0.16516714
22200,0.16516714
22300,0.16516714
22400,0.16516714
22500,0.17086256
22600,0.17086256
22700,0.17086256
22800,0.16516714
22900,0.17086256
23000,0.17086256
23100,0.176557984
23200,0.17086256
23300,0.176557984
23400,0.176557984
23500,0.176557984
23600,0.18225338
23700,0.176557984
23800,0.176557984
23900,0.176557984
24000,0.176557984
24100,0.176557984
24200,0.18225338
24300,0.18225338
24400,0.18225338
24500,0.18225338
24600,0.18225338
24700,0.18225338
24800,0.18794881
24900,0.18794881
25000,0.18225338
25100,0.18794881
25200,0.18794881
25300,0.18794881
25400,0.19364422
25500,0.19364422
25600,0.19364422
25700,0.19364422
25800,0.19933964
25900,0.19364422
26000,0.19364422
26100,0.19364422
26200,0.19364422
26300,0.19933964
26400,0.19933964
26500,0.19933964
26600,0.19933964
26700,0.20503508
26800,0.19933964
26900,0.20503508
27000,0.20503508
27100,0.20503508
27200,0.20503508
27300,0.20503508
27400,0.20503508
27500,0.20503508
27600,0.20503508
27700,0.20503508
27800,0.21073048
27900,0.21073048
28000,0.21073048
28100,0.21073048
28200,0.2164259
28300,0.2164259
28400,0.2164259
28500,0.21073048
28600,0.2164259
28700,0.2164259
28800,0.2164259
28900,0.22212134
29000,0.22212134
29100,0.22212134
29200,0.22212134
29300,0.2164259
29400,0.2164259
29500,0.22212134
